episode,name,ranking,color
1,Mamehara Issei,3,red
2,Mamehara Issei,1,red
3,Mamehara Issei,1,red
5,Mamehara Issei,2,red
6,Mamehara Issei,4,red
8,Mamehara Issei,4,red
9,Mamehara Issei,1,red
11,Mamehara Issei,2,red
12,Mamehara Issei,1,red
1,Kawashiri Ren,1,blue
2,Kawashiri Ren,2,blue
3,Kawashiri Ren,2,blue
5,Kawashiri Ren,1,blue
6,Kawashiri Ren,2,blue
8,Kawashiri Ren,2,blue
9,Kawashiri Ren,2,blue
11,Kawashiri Ren,1,blue
12,Kawashiri Ren,2,blue
1,Kawanishi Takumi,2,hotpink
2,Kawanishi Takumi,3,hotpink
3,Kawanishi Takumi,3,hotpink
5,Kawanishi Takumi,3,hotpink
6,Kawanishi Takumi,1,hotpink
8,Kawanishi Takumi,1,hotpink
9,Kawanishi Takumi,12,hotpink
11,Kawanishi Takumi,6,hotpink
12,Kawanishi Takumi,3,hotpink
1,Ohira Shosei,15,gold
2,Ohira Shosei,9,gold
3,Ohira Shosei,8,gold
5,Ohira Shosei,7,gold
6,Ohira Shosei,9,gold
8,Ohira Shosei,11,gold
9,Ohira Shosei,13,gold
11,Ohira Shosei,11,gold
12,Ohira Shosei,4,gold
1,Tsurubo Shion,7,gray
2,Tsurubo Shion,5,gray
3,Tsurubo Shion,5,gray
5,Tsurubo Shion,5,gray
6,Tsurubo Shion,3,gray
8,Tsurubo Shion,3,gray
9,Tsurubo Shion,3,gray
11,Tsurubo Shion,3,gray
12,Tsurubo Shion,5,gray
1,Shiroiwa Ruki,22,silver
2,Shiroiwa Ruki,20,silver
3,Shiroiwa Ruki,19,silver
5,Shiroiwa Ruki,16,silver
6,Shiroiwa Ruki,16,silver
8,Shiroiwa Ruki,13,silver
9,Shiroiwa Ruki,4,silver
11,Shiroiwa Ruki,4,silver
12,Shiroiwa Ruki,6,silver
1,Sato Keigo,25,brown
2,Sato Keigo,19,brown
3,Sato Keigo,17,brown
5,Sato Keigo,12,brown
6,Sato Keigo,14,brown
8,Sato Keigo,16,brown
9,Sato Keigo,17,brown
11,Sato Keigo,13,brown
12,Sato Keigo,7,brown
1,Kimata Syoya,19,purple
2,Kimata Syoya,23,purple
3,Kimata Syoya,22,purple
5,Kimata Syoya,22,purple
6,Kimata Syoya,17,purple
8,Kimata Syoya,14,purple
9,Kimata Syoya,9,purple
11,Kimata Syoya,10,purple
12,Kimata Syoya,8,purple
1,Kono Junki,16,deepskyblue
2,Kono Junki,17,deepskyblue
3,Kono Junki,18,deepskyblue
5,Kono Junki,15,deepskyblue
6,Kono Junki,10,deepskyblue
8,Kono Junki,9,deepskyblue
9,Kono Junki,11,deepskyblue
11,Kono Junki,11,deepskyblue
12,Kono Junki,9,deepskyblue
1,Kinjo Sukai,66,black
2,Kinjo Sukai,85,black
3,Kinjo Sukai,38,black
5,Kinjo Sukai,33,black
6,Kinjo Sukai,26,black
8,Kinjo Sukai,25,black
9,Kinjo Sukai,24,black
11,Kinjo Sukai,14,black
12,Kinjo Sukai,10,black
1,Yonashiro Sho,23,green
2,Yonashiro Sho,24,green
3,Yonashiro Sho,24,green
5,Yonashiro Sho,26,green
6,Yonashiro Sho,19,green
8,Yonashiro Sho,17,green
9,Yonashiro Sho,8,green
11,Yonashiro Sho,10,green
12,Yonashiro Sho,11,green
